,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
65,Bombay Shaving Company,Consumer Goods,Series A,0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018
66,MedCords,Wellness,Seed,385901,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
67,University Living,Education,Seed,0,New Delhi,University Living is an online global student housing marketplace.,2018
68,&ME,Food and Beverage,Seed,0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018
69,Enakshi,Fashion,Seed,116940,Ahmedabad,Enakshi is an online apparel brand for women.,2018
70,Ultraviolette Automotive,Automotive,Series A,877,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018
71,Inthree Access,Consulting,Series A,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018
72,BUGWORKS Research India,Biotechnology,Series A,9000000,Bangalore,BUGWORKS is a drug discovery company.,2018
73,Guardian.in,Health Care,Seed,0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018
74,PrestLoans,Credit,Seed,100000,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018
75,Wimoxez,Internet,Seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018
76,India Accelerator,Communities,Angel,0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018
77,HappyEMI,Consumer,Seed,1000000,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018
78,Wishup,Consumer Applications,Seed,0,Azadpur,Premium Personal Assistance service,2018
79,Hansel.io,Mobile,Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018
80,Propelld,Education,Seed,250000,Bengaluru,Propelld is a student education financing platform.,2018
81,PivotRoots,Advertising,Series A,0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018
